/* DATA DESCRIPTION:
Citation:	Schmieder, Frank (2004): Susceptibility versus depth and age of sediment core GeoB6425-2. PANGAEA, https://doi.org/10.1594/PANGAEA.219636
Related to:	Schmieder, Frank (2004): Magnetic signals in Plio-Pleistocene sediments of the South Atlantic: Chronostratigraphic usability and paleooceanographic implications. In: Wefer, G; Mulitza, S & Ratmeyer, V (eds.), The South Atlantic in the Late Quaternary: Reconstruction of Material Budgets and Current Systems, Springer, Berlin, Heidelberg, New York, 261-277, https://doi.org/10.1007/978-3-642-18917-3_13
Project(s):	Geosciences, University of Bremen (GeoB) (URI: http://www.geo.uni-bremen.de/page.php?langid=EN)
	South Atlantic in Late Quaternary: Reconstruction of Budget and Currents (SFB261)
Coverage:	LATITUDE: -33.825200 * LONGITUDE: -23.587300
	DATE/TIME START: 2000-03-02T08:02:00 * DATE/TIME END: 2000-03-02T08:02:00
	MINIMUM DEPTH, sediment/rock: 0.01 m * MAXIMUM DEPTH, sediment/rock: 10.71 m
Event(s):	GeoB6425-2 * LATITUDE: -33.825200 * LONGITUDE: -23.587300 * DATE/TIME: 2000-03-02T08:02:00 * ELEVATION: -4352.0 m * Recovery: 10.89 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: geology and geophysics, CTD at 50 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Susceptibility, volume [10**-6 SI] (kappa) * PI: Schmieder, Frank (schmiede@uni-bremen.de) * METHOD/DEVICE: Bartington MS2F spot sensor
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1057 data points
*/
Depth [m]	Age [ka BP]	kappa [10**-6 SI]
10.21	992.86	257.00
10.22	993.71	238.90
10.23	994.57	197.30
10.24	995.43	193.70
10.25	996.28	184.60
10.26	997.14	182.80
10.27	998.00	182.80
10.28	998.71	184.60
10.29	999.43	184.60
10.30	1000.14	193.70
10.31	1000.86	204.50
10.32	1001.57	224.40
10.33	1002.29	244.40
10.34	1003.00	262.50
10.35	1003.71	278.70
10.36	1004.43	295.00
10.37	1005.14	320.40
10.38	1005.86	314.90
10.39	1006.57	336.70
10.40	1007.29	340.30
10.41	1008.00	340.30
10.42	1008.70	338.50
10.43	1009.40	331.20
10.44	1010.10	316.80
10.45	1010.80	333.00
10.46	1011.50	334.90
10.47	1012.20	324.00
10.48	1012.90	314.90
10.49	1013.60	304.10
10.50	1014.30	286.00
10.51	1015.00	269.70
10.52	1015.70	266.10
10.53	1016.40	238.90
10.54	1017.10	217.20
10.55	1017.80	215.40
10.56	1018.50	255.20
10.57	1019.20	226.30
10.58	1019.90	168.30
10.59	1020.60	159.30
10.60	1021.30	164.70
10.61	1022.00	162.90
10.62	1022.70	168.30
10.63	1023.40	181.00
10.64	1024.10	182.80
10.65	1024.80	181.00
10.66	1025.50	188.20
10.67	1026.20	195.50
10.68	1026.90	200.90
10.69	1027.60	206.30
10.70	1028.30	213.60
10.71	1029.00	204.50
